# World_Dynamics_2nd_ed_1973 Appendix C Definition Of Terms

BR      BIRTH RATE (PEOPLE/YEAR)
BRCM    BIRTH-RATE-FROM-CROWDING MULTIPLIER(DIMENSIONLESS)
BRCMT   BIRTH-RATE-FROM-CROWDING-MULTIPLIER TABLE
BRFM    BIRTH-RATE-FROM-FOOD MULTIPLIER (DIMENSIONLESS)
BRFMT   BIRTH-RATE-FROM-FOOD-MULTIPLIER TABLE
BRMM    BIRTH-RATE-FROM-MATERIAL MULTIPLIER (DIMENSIONLESS)
BRMMT   BIRTH-RATE-FROM-MATERIAL-MULTIPLIER TABLE
BRN     BIRTH RATE NORMAL (FRACTION/YEAR)
BRN1    BIRTH RATE NORMAL NO.1 (FRACTION/YEAR)
BRPM    BIRTH-RATE-FROM-POLLUTION MULTIPLER (DIMENSIONLESS)
BRPMT   BIRTH-RATE-FROM-POLLUTION-MULTIPLIER TABLE
CFIFR   CAPITAL FRACTION INDICATED BY FOOD RATIO (DIMENSIONLESS)
CFIFRT  CAPITAL-FRACTION-INDICATED-BY-FOOD-RATIO TABLE
CI      CAPITAL INVESTMENT (CAPITAL UNITS)
CIAF    CAPITAL-INVESTMENT-IN-AGRICULTURE FRACTION (DIMENSIONLESS)
CIAFI   CAPITAL-INVESTMENT-IN-AGRICULTURE FRACTION, INITIAL(DIMENSIONLESS)
CIAFN   CAPITAL-INVESTHENT-IN-AGRICULTURE FRACTION NORMAL(DIMENSIONLESS)
CIAFT   CAPITAL-INVESTMENT-IN-AGRICULTURE-FRACTION ADJUSTMENT TIME(YEARS)
CID     CAPITAL-INVESTMENT DISCARD (CAPITAL UNITS/YEAR)
CEDN    CAPITAL-INVESTMENT DISCARD NORMAL (FRACTION/YEAR)
CIDN1   CAPITAL-INVESTMENT DISCARD NORMAL NO.1 (FRACTION/YEAR)
CIG     CAPITAL-INVESTMENT GENERATION (CAPITAL UNITS/YEAR)
CIGN    CAPITAL-INVESTMENT GENERATION NORMAL (CAPITAL UNITS/PERSON/YEAR)
CIGN1   CAPITAL-INVESTMENT GENERATION NORMAL NO.1 (CAPITAL UNITS/PERSON/YEAR)
CII     CAPITAL INVESTMENT, INITIAL (CAPITAL UNITS)
CIM     CAPITAL-INVESTMENT MULTIPLIER (DIMENSIONLESS)
CIMT    CAPITAL-INVESTMENT-MULTIPLIER TABLE
CIQR    CAPITAL-INVESTMENT-FROM-QUALITY RATIO (DIMENSIONLESS)
ClQRT   CAPITAL-ENVESTMENT-FROM-QUALITY-RATIO TABLE
CIR     CAPITAL-INVESTMENT RATIO (CAPITAL UNITS/PERSON)
CIRA    CAPITAL-INVESTMENT RATIO IN AGRICULTURE (CAPITAL UNITS/PERSON)
CLIP    LOGICAL FUNCTION USED AS A TIME SWITCH TO CHANGE PARAMETER VALUE
CR      CROWDING RATIO (DIMENSIONLESS)
DR      DEATH RATE (PEOPLE/YEAR)
DRCM    DEATH-RATE-FROM-CROWDING MULTIPLIER (DIMENSIONLESS)
DRCMT   DEATH-RATE-FROM-CROWDING-MULTIPLIER TABLE
DRFM    DEATH-RATE-FROM-FOOD MULTIPLIER (DIMENSIONLESS)
DRFMT   DEATH-RATE-FROM-FOOD-MULTIPLIER TABLE
DRMM    DEATH-RATE-FROM-MATERIAL MULTIPLIER (DIMENSIONLESS)
DRMMT   DEATH-RATE-FROM-MATERIAL-MULTIPLIER TABLE
DRN     DEATH RATE NORMAL (FRACTION/YEAR)
DRN1    DEATH RATE NORMAL NO. I (FRACTION/YEAR)
DRPM    DEATH-RATE-FROM-POLLUTION MULTIPLIER (DIMENSIONLESS)
DRPMT   DEATH-RATE-FROM-POLLUTION-MULTIPLIER TABLE
ECIR    EFFECTIVE-CAPITAL-INVESTMENT RATIO (CAPITAL UNITS/PERSON)
ECIRN   EFFECTIVE-CAPITAL-INVESTMENT RATIO NORMAL (CAPITAL UNITS/PERSON)
FC      FOOD COEFFICIENT (DIMENSIONLESS)
FC1     FOOD COEFFICIENT NO.1 (DIMENSIONLESS)
FCM     FOOD-FROM-CROWDING MULTIPLIER (DIMENSIONLESS)
FCMT    FOOD-FROM-CROWDING-MULTIPLIER TABLE
FN      FOOD NORMAL (FOOD UNITS/PERSON/YEAR)
FPCI    FOOD POTENTIAL FROM CAPITAL INVESTMENT(FOOD UNITS/PERSON/YEAR)
FPCIT   FOOD-POTENTIAL-FROM-CAPITAL-INVESTMENT TABLE
FPM     FOOD-FROM-POLLUTION MULTIPLIER (DIMENSIONLESS)
FPMT    FOOD-FROM-POLLUTION-MULTIPLIER TABLE
FR      FOOD RATIO (DIMENSIONLESS)
LA      LAND AREA (SQUARE KILOMETERS)
MSL     MATERIAL STANDARD OF LIVING (DIMENSIONLESS)
NR      NATURAL RESOURCES (NATURAL RESQURCE UNITS)
NREM    NATURAL-RESOURCE-EXTRACTION MULTIPLIER (DIMENSIONLESS)
NREMT   NATURAL-RESOURCE-EXTRACTION-MULTIPLIER TABLE
